trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1513,False,"{'a': 0.65, 'e': 0.057764154878816816}",30,13,35.028770152394095,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1514,False,"{'a': 0.65, 'e': 0.056765795905945229}",30,7,42.715206444524625,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1515,False,"{'a': 0.65, 'e': 0.055767380167282242}",20,7,21.388519229204277,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1516,False,"{'a': 0.65, 'e': 0.05476890866124396}",20,3,29.699674313198244,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1517,False,"{'a': 0.65, 'e': 0.053770382386301357}",20,12,16.439370693636214,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1518,False,"{'a': 0.65, 'e': 0.052771802340981069}",30,16,8.752550254496773,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1519,False,"{'a': 0.65, 'e': 0.051773169523862621}",20,15,8.351232944226512,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1520,False,"{'a': 0.65, 'e': 0.050774484933579181}",25,12,22.14250614023466,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1521,False,"{'a': 0.65, 'e': 0.049775749568814816}",35,15,35.387646006328715,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1522,False,"{'a': 0.65, 'e': 0.048776964428305251}",20,13,12.780191443433727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1523,False,"{'a': 0.65, 'e': 0.047778130510835105}",25,17,13.16292379844369,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1524,False,"{'a': 0.65, 'e': 0.04677924881523865}",20,14,10.801725450050423,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1525,False,"{'a': 0.65, 'e': 0.045780320340397057}",20,8,23.416810481539297,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1526,False,"{'a': 0.65, 'e': 0.044781346085239156}",20,8,17.153499172795616,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1527,False,"{'a': 0.65, 'e': 0.043782327048738683}",20,10,16.75333210483244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1528,False,"{'a': 0.65, 'e': 0.042783264229915033}",25,11,30.48053292397851,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1529,False,"{'a': 0.65, 'e': 0.041784158627830491}",25,3,32.01905214751879,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1530,False,"{'a': 0.65, 'e': 0.040785011241591035}",30,13,30.229648916241374,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1531,False,"{'a': 0.65, 'e': 0.039785823070343507}",30,16,24.476555206357435,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1532,False,"{'a': 0.65, 'e': 0.038786595113276444}",20,11,17.948928805547993,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1533,False,"{'a': 0.65, 'e': 0.037787328369617283}",20,10,4.766025090489097,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1534,False,"{'a': 0.65, 'e': 0.036788023838633124}",25,12,23.873756527801422,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1535,False,"{'a': 0.65, 'e': 0.035788682519627968}",30,8,39.169862854257026,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1536,False,"{'a': 0.65, 'e': 0.034789305411943493}",25,19,12.113738518571989,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1537,False,"{'a': 0.65, 'e': 0.033789893514956509}",20,2,31.253458680475415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1538,False,"{'a': 0.65, 'e': 0.032790447828078606}",30,18,20.966631503536224,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1539,False,"{'a': 0.65, 'e': 0.031790969350755822}",25,16,5.7343960868229225,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1540,False,"{'a': 0.65, 'e': 0.030791459082466121}",20,11,3.295710333379735,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1541,False,"{'a': 0.65, 'e': 0.029791918022720125}",30,7,30.254917093616584,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1542,False,"{'a': 0.65, 'e': 0.028792347171058365}",20,13,12.874917901995637,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1543,False,"{'a': 0.65, 'e': 0.027792747527052058}",30,12,33.892218635228936,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1544,False,"{'a': 0.65, 'e': 0.026793120090300316}",25,17,15.11700969131636,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1545,False,"{'a': 0.65, 'e': 0.025793465860430936}",30,20,14.021908118683996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1546,False,"{'a': 0.65, 'e': 0.024793785837097626}",30,17,24.22139132285872,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1547,False,"{'a': 0.65, 'e': 0.023794081019980769}",20,12,14.307219461817057,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1548,False,"{'a': 0.65, 'e': 0.022794352408784649}",25,8,32.62994657581481,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1549,False,"{'a': 0.65, 'e': 0.021794601003238243}",20,12,15.291068501708004,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1550,False,"{'a': 0.65, 'e': 0.020794827803092428}",20,14,8.383678471630084,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1551,False,"{'a': 0.65, 'e': 0.019795033808120765}",20,0,30.306317314057264,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1552,False,"{'a': 0.65, 'e': 0.018795220018116721}",25,15,17.102483651340755,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1553,False,"{'a': 0.65, 'e': 0.017795387432894449}",30,12,30.844922565526684,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1554,False,"{'a': 0.65, 'e': 0.016795537052286005}",20,12,14.072924622530332,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1555,False,"{'a': 0.65, 'e': 0.015795669876142129}",30,19,19.21225077409749,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1556,False,"{'a': 0.65, 'e': 0.014795786904329471}",25,16,15.208780758467578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1557,False,"{'a': 0.65, 'e': 0.013795889136731364}",35,17,31.649443446705998,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1558,False,"{'a': 0.65, 'e': 0.012795977573245047}",30,8,36.4645763199079,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1559,False,"{'a': 0.65, 'e': 0.011796053213782446}",20,13,13.7490452276113,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1560,False,"{'a': 0.65, 'e': 0.010796117058267392}",30,13,33.478052939699275,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1561,False,"{'a': 0.65, 'e': 0.0097961701066364027}",30,18,22.196521564535704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,16.07466249935299,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,21,27.796644813525504,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,16,6.854869032150548,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,15,9.11246180670262,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,16,20.13911488721367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,13,24.370547776446433,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",35,18,29.34746063231996,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,7,19.246695157605167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,14,12.40589239083221,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,13,23.800027934564916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0, 'e': 0}",25,19,12.99049025381342,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0, 'e': 0}",35,21,24.44657096043716,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0, 'e': 0}",20,0,27.790347943293966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0, 'e': 0}",20,5,28.745477376833396,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'a': 0, 'e': 0}",25,18,14.824991083222013,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0, 'e': 0}",25,14,20.64367564773714,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0, 'e': 0}",30,18,22.209164440262015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0, 'e': 0}",20,16,8.543588982584367,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",30,0,46.41955219728427,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0, 'e': 0}",20,13,11.555880357811908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",35,15,36.74356035847761,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",20,16,8.79729150023859,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",25,15,19.85733597003401,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",35,19,32.563742520658586,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,15,18.50217691623164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",20,10,22.256475638760126,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,12,17.935251658781965,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,12,12.013608060994967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,14,9.631451631690014,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,14,24.381140432173503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'a': 0, 'e': 0}",35,15,38.06882273218244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
